customerID,firstName,lastName,title,eMailAddress,phoneNumber,Number,street,city,state,countryCode_code,postalCode,companyName,companyAddress
100010001,,,,,215-245-0800,2639,BRISTOL PIKE,BENSALEM,PA,US,19020-5344,FUN CENTER POWER SPORTS,2639 BRISTOL PIKE
100010002,,,,,215-712-7433,2901,BETHLEHEM PIKE,HATFIELD,PA,US,19440-1320,MONTGOMERYVILLE CYCLE CENTER ,2901 BETHLEHEM PIKE
100010003,,,,,610-446-2002,8738,W CHESTER PIKE,UPPER DARBY,PA,US,19082-2632,CROSSROAD POWERSPORTS,8738 W CHESTER PIKE
100010004,,,,,856-848-8500,1300,CLEMENTS BRIDGE RD,DEPTFORD ,NJ,US,08096-3004,DEPTFORD HONDA YAMAHA,1300 CLEMENTS BRIDGE RD
100010005,,,,,609-888-1300,2635,SOUTH BROAD ST,HAMILTON,NJ,US,08610-4011,2635 SOUTH BROAD ST. ASSOCIATES INC,2635 SOUTH BROAD ST
100010006,,,,,610-282-4800,1675,ROUTE 309,COOPERSBERG,PA,US,18036-2811,SCOTT POWERSPORTS ,1675 ROUTE 309
100010007,,,,,609-859-0333,2044,ROUTE 206,SOUTHAMPTON,NJ,US,08088-3529,MT. HOLLY MOTORSPORTS,2044 ROUTE 206
100010008,,,,,610-965-9865,4911,BUCKEYE RD,EMMAUS,PA,US,18049-1015,BLACKMANS CYCLE CENTER,4911 BUCKEYE RD
100010009,,,,,610-369-3120,1037,UNGER LANE,BOYERTOWN,PA,US,19512-8901,MARTIN MOTORSPORTS,1037 UNGER LANE
100010010,,,,,609-561-8181,1181,S WHITE HORSE PIKE,HAMMONTON,NJ,US,08037-1023,ATLANTIC CITY CYCLE CENTER ,1181 S WHITE HORSE PIKE
100010011,,,,,770-664-0820,10885,ALPHARETTA HWY,ROSWELL,GA,US,03376-1422,MOUNTAIN MOTORSPORTS,10885 ALPHARETTA HWY
100010012,,,,,770-761-4800,899,IRIS DR SE,CONYERS,GA,US,30094-5919,SO MTN ADVENTURES LLC/MTN MTRSPORTS,899 IRIS DR SE
100010013,,,,,770-969-4900,104,KENWOOD RD,FAYETTEVILLE,GA,US,30214-3446,CYCLE SPECIALTY ,104 KENWOOD RD
100010014,,,,,972-562-2077,755, INDUSTRIAL BLVD,MCDONOUGH,GA,US,30253-6614,FREEDOM POWERSPORTS MCDONOUGH,755 INDUSTRIAL BLVD
100010015,,,,,770-253-2201,66,MILLARD FARMER IND BLV,NEWMAN,GA,US,30263-1077,"CYCLE CITY OF NEWNAN, INC.",66 MILLARD FARMER IND BLV
100010016,,,,,713-941-5920,2901,SPENCER HWY,PASADENA,TX,US,77504-1003,HOUSTON MOTORSPORTS PASADENA,2901 SPENCER HWY
100010017,,,,,281-843-8591,347, S MAIN ST,HIGHLANDS,TX,US,77562-3813,TEJAS MOTORSPORTS,347 S MAIN ST
100010018,,,,,281-446-7165,17802,HIGHWAY 59 N,HUMBLE,TX,US, 77396-1416,KS HUMBLE YAMAHA INCORPORATED,17802 HIGHWAY 59 N
100010019,,,,,281-392-8850,22515,KATY FWY,KATY,TX,US,77450-1535,WILD WEST MOTOPLEX,22515 KATY FWY
100010020,,,,,281-890-2020,9550,CYPRESS CREEK PKWY,HOUSTON,TX,US,77070-6116,HOUSTON MOTORSPORTS,9550 CYPRESS CREEK PKWY
100010021,,,,,713-995-9944,7250,SOUTHWEST FWY,HOUSTON,TX,US,77074-2001,TEAM MANCUSO POWERSPORTS SOUTHWEST,7250 SOUTHWEST FWY
100010022,,,,,281-338-1636,1660, FM 528,WEBSTER,TX,US,77598-4706,HOUSTON MOTORSPORTS WEBSTER,1660 FM 528
100010023,,,,,409-933-1982,8302, FM 1765,TEXAS CITY,TX,US,77591-3239,HOUSTON MOTORSPORTS TEXAS CITY,8302 FM 1765
100010024,,,,,510-525-5525,735,GILMAN ST,BERKELEY,CA,US,94710-1332,BERKELEY YAMAHA,735 GILMAN ST
100010025,,,,,510-889-7900,21756, FOOTHILL BLVD,HAYWARD,CA,US, 94541-2115,EAST BAY MOTORSPORTS INC,21756 FOOTHILL BLVD
100010026,,,,,707-643-2548,510,COUCH ST,VALLEJO,CA,US, 94590-2408,MACH 1 MOTORSPORTS,510 COUCH ST
100010027,,,,,925-954-4121,1240,WILLOW PASS RD,CONCORD,CA,US,94520-5263,SOSO CYCLES (30mi),1240 WILLOW PASS RD
100010028,,,,,707-763-4658,3480,PETALUMA BLVD N,PETALUMA,CA,US,94952-1234,K & B MOTORSPORTS OF PETALUMA,3480 PETALUMA BLVD N
100010029,,,,,408-377-8780,2020,CAMDEN AVE,SAN JOSE,CA,US,95124-2023,G.P. SPORTS,2020 CAMDEN AVE
100010030,,,,,707-545-1672,55,COLLEGE AVE,SANTA ROSA,CA,US,95401-4702,FACTORY POWERSPORTS ,55 COLLEGE AVE
100010031,,,,,209-832-3400,3255,AUTO PLAZA WAY,TRACY,CA,US,95304-7315,TRACY MOTORSPORTS INC.,3255 AUTO PLAZA WAY
100010032,,,,,209-931-7940,3295,N AD ART RD,STOCKTON,CA,US,95215-2200,STOCKTON POWERSPORTS,3295 N AD ART RD
100010033,,,,,408-842-9955,303,E 10TH STREET,GILROY,CA,US,95020-6570,GILROY MOTORCYCLE CENTER,303 E 10TH STREET
