CREATEDAT,CREATEDAT,LASTCHANGEDAT,LASTCHANGEDBY,productID,productName,productCategory,productModel,productBrand,productYear,productColor,productSize,productCondition,price,currencyCode_code,stockQuantity,image,productDescription
,,,,BP6-Y2410-01-X9,FUEL TANK COMP. - SMX,Motorcycle,BOLT R SPEC,Yamaha,2024,,,,706.99,USD,1,https://github.com/dewdale/images/raw/main/ff7460f7-e56e-45c0-8c6d-96ecb7d72963_480px.gif,FUEL TANK COMP. - SMX for 2024 Yamaha BOLT R SPEC (XVS95CRCB/XVS95CRB) 
,,,,B34-84310-20-00,HEADLIGHT UNIT ASSY,Motorcycle,BOLT R SPEC,Yamaha,2024,,,,345.99,USD,1,https://github.com/dewdale/images/raw/main/d61b1059-59b2-47ae-baa9-9308ec5baab2_480px.gif,HEADLIGHT UNIT ASSY for 2024 Yamaha BOLT R SPEC (XVS95CRCB/XVS95CRB) 
,,,,1TP-14610-10-00,EXHAUST PIPE ASSY,Motorcycle,BOLT R SPEC,Yamaha,2024,,,,953.99,USD,1,https://github.com/dewdale/images/raw/main/59bc181e-211d-4c30-8077-2248f2fcff12_480px.gif,EXHAUST PIPE ASSY 1 for 2024 Yamaha BOLT R SPEC (XVS95CRCB/XVS95CRB) 
,,,,1TP-83500-01-00,METER ASSY,Motorcycle,BOLT R SPEC,Yamaha,2024,,,,501.99,USD,1,https://github.com/dewdale/images/raw/main/017dbce2-49e4-41a3-bd54-ee696abc2984_480px.gif,METER ASSY for 2024 Yamaha BOLT R SPEC (XVS95CRCB/XVS95CRB) 
,,,,23P-YK241-01-PC,FUEL TANK COMP. - DNMG,Motorcycle,SUPER TENERE ES,Yamaha,2024,,,,863.99,USD,1,https://github.com/dewdale/images/raw/main/da00ee37-9030-4a54-a4ed-931b396e5603_480px.gif,FUEL TANK COMP. - DNMG for 2024 Yamaha SUPER TENERE ES (XTZ12ERCB/XTZ12ERB) 
,,,,2BS-84300-00-00,HEADLIGHT ASSY,Motorcycle,SUPER TENERE ES,Yamaha,2024,,,,701.99,USD,1,https://github.com/dewdale/images/raw/main/fb092fde-d33a-44f4-9e60-40e311ef1c2c_480px.gif,HEADLIGHT ASSY for 2024 Yamaha SUPER TENERE ES (XTZ12ERCB/XTZ12ERB) 
,,,,2BS-14610-00-00,EXHAUST PIPE ASSY 1 ,Motorcycle,SUPER TENERE ES,Yamaha,2024,,,,962.99,USD,1,https://github.com/dewdale/images/raw/main/fdaa8067-9d2f-432a-9f92-80586561dd6b_480px.gif,EXHAUST PIPE ASSY 1 for 2024 Yamaha SUPER TENERE ES (XTZ12ERCB/XTZ12ERB) 
,,,,2KB-83500-21-00,METER ASSY,Motorcycle,SUPER TENERE ES,Yamaha,2024,,,,886.99,USD,1,https://github.com/dewdale/images/raw/main/91866e27-a370-4b42-94f1-35394c7c9c86_480px.gif,METER ASSY for 2024 Yamaha SUPER TENERE ES (XTZ12ERCB/XTZ12ERB) 
,,,,B5U-Y2410-00-02,FUEL TANK COMP. - PGD/YB,Motorcycle,TRACER 9 GT,Yamaha,2024,,,,947.99,USD,1,https://github.com/dewdale/images/raw/main/d0a2dbba-5060-43e0-8c69-96ffd9f45d39_480px.gif,FUEL TANK COMP. - PGD/YB FOR PGD for 2024 Yamaha TRACER 9 GT  (MTT9GPRCGY/MTT9GPRGY) 
,,,,B5U-24129-00-1X,"COVER, SIDE 1 - PGD/YB",Motorcycle,TRACER 9 GT,Yamaha,2024,,,,139.99,USD,2,https://github.com/dewdale/images/raw/main/80295c18-ea92-43cc-b83a-6509d89f5fb8_480px.gif,"COVER, SIDE 1 - PGD/YB FOR PGD for 2024 Yamaha TRACER 9 GT  (MTT9GPRCGY/MTT9GPRGY) "
